category,feature_set,model,metric,value
harm_self_harm_intent,+tax,LogisticReg,AUC_ROC,0.9213
harm_self_harm_intent,+tax,LogisticReg,AUC_PR,0.2634
harm_self_harm_intent,+net,Ridge,MAE,0.182
harm_self_harm_intent,+net,Ridge,RMSE,0.1886
harm_self_harm_intent,+net,Ridge,R2,-24.8674
harm_self_harm_intent,+net,LogisticReg,AUC_ROC,0.8878
harm_self_harm_intent,+net,LogisticReg,AUC_PR,0.2589
harm_self_harm_instructions,text,Ridge,MAE,0.0807
harm_self_harm_instructions,text,Ridge,RMSE,0.0841
harm_self_harm_instructions,text,Ridge,R2,-5.7232
harm_self_harm_instructions,text,LogisticReg,AUC_ROC,0.944
harm_self_harm_instructions,text,LogisticReg,AUC_PR,0.348
harm_self_harm_instructions,+tax,Ridge,MAE,0.0779
harm_self_harm_instructions,+tax,Ridge,RMSE,0.083
harm_self_harm_instructions,+tax,Ridge,R2,-5.5472
harm_self_harm_instructions,+tax,LogisticReg,AUC_ROC,0.9636
harm_self_harm_instructions,+tax,LogisticReg,AUC_PR,0.3543
harm_self_harm_instructions,+net,Ridge,MAE,0.0756
harm_self_harm_instructions,+net,Ridge,RMSE,0.0821
harm_self_harm_instructions,+net,Ridge,R2,-5.4006
harm_self_harm_instructions,+net,LogisticReg,AUC_ROC,0.9475
harm_self_harm_instructions,+net,LogisticReg,AUC_PR,0.346
